Model,Partition,R^2,MAE,RMSE
../models\KNN\best_estimator_Clustering2.pkl,train,0.9983560159043814,0.013765182186234818,0.12725695259515554
../models\KNN\best_estimator_Clustering2.pkl,test,0.45237500267776776,1.8041093263256325,2.304580268562499
../models\KNN\best_estimator_PCA3.pkl,train,0.9983560159043814,0.013765182186234818,0.12725695259515554
../models\KNN\best_estimator_PCA3.pkl,test,0.4613203064304132,1.8030096153729085,2.285680427349933
../models\KNN\best_estimator_SelectKBest1.pkl,train,0.5263111906036215,1.6887449392712555,2.1601269518348185
../models\KNN\best_estimator_SelectKBest1.pkl,test,0.46779964764703896,1.7895299145299144,2.271892542902443
../models\LightGBM\best_estimator_Clustering2.pkl,train,0.5091275890729869,1.734537476164586,2.198958458465248
../models\LightGBM\best_estimator_Clustering2.pkl,test,0.4619667577176607,1.7962219648324362,2.284308531734504
../models\LightGBM\best_estimator_PCA3.pkl,train,0.6713574246048044,1.418480528257348,1.7992629029397829
../models\LightGBM\best_estimator_PCA3.pkl,test,0.5041329057387659,1.7591297655515392,2.1929708148530906
../models\LightGBM\best_estimator_SelectKBest1.pkl,train,0.5876441210212355,1.5810714278319946,2.015435056984921
../models\LightGBM\best_estimator_SelectKBest1.pkl,test,0.5300868606924616,1.709256182325264,2.1348088840299395
../models\LinearRegression\best_estimator_Clustering2.pkl,train,0.44922164566684264,1.8397753249101514,2.3292770368003017
../models\LinearRegression\best_estimator_Clustering2.pkl,test,0.39170994298592454,1.849824590121602,2.428877243842154
../models\LinearRegression\best_estimator_PCA3.pkl,train,0.3865917002896213,1.9462036851416202,2.458145225473183
../models\LinearRegression\best_estimator_PCA3.pkl,test,0.1887268330287617,2.0466893461475957,2.80500579674035
../models\LinearRegression\best_estimator_SelectKBest1.pkl,train,0.3865917002896213,1.9462036851416198,2.458145225473183
../models\LinearRegression\best_estimator_SelectKBest1.pkl,test,0.18872683302876048,2.0466893461475957,2.8050057967403523
../models\RandomForestRegressor\best_estimator_Clustering2.pkl,train,0.7499128418641263,1.2521951912508071,1.5695617588038462
../models\RandomForestRegressor\best_estimator_Clustering2.pkl,test,0.49099276289968374,1.7632921200202871,2.221836954110866
../models\RandomForestRegressor\best_estimator_PCA3.pkl,train,0.8514662465126885,0.967271800924297,1.2096097843984746
../models\RandomForestRegressor\best_estimator_PCA3.pkl,test,0.5080369308186115,1.7470389042951804,2.1843209859984394
../models\RandomForestRegressor\best_estimator_SelectKBest1.pkl,train,0.7362529785622165,1.2694290916309285,1.6118569458078267
../models\RandomForestRegressor\best_estimator_SelectKBest1.pkl,test,0.5348643722837213,1.7082928164580653,2.123929075685391
../models\RandomTreeRegressor\best_estimator_Clustering2.pkl,train,0.46228112262424015,1.803992920614994,2.301496690891254
../models\RandomTreeRegressor\best_estimator_Clustering2.pkl,test,0.44958825906009403,1.8350034120088456,2.310436579653324
../models\RandomTreeRegressor\best_estimator_PCA3.pkl,train,0.473102534142671,1.7978165257936378,2.278220566322867
../models\RandomTreeRegressor\best_estimator_PCA3.pkl,test,0.3762679672962349,1.9358912748399764,2.459513617321468
../models\RandomTreeRegressor\best_estimator_SelectKBest1.pkl,train,0.47669344374474665,1.795152403397666,2.2704440339601213
../models\RandomTreeRegressor\best_estimator_SelectKBest1.pkl,test,0.4704875776008617,1.81360306806374,2.2661480726756675
../models\SVR\best_estimator_Clustering2.pkl,train,0.48611163601164986,1.7111784032907882,2.249920149875071
../models\SVR\best_estimator_Clustering2.pkl,test,0.47468838375544853,1.7407553504252162,2.2571411029567403
../models\SVR\best_estimator_PCA3.pkl,train,0.4949438266901184,1.694206179446329,2.230501682128353
../models\SVR\best_estimator_PCA3.pkl,test,0.4756604725327548,1.7591785573651764,2.255051716893576
../models\SVR\best_estimator_SelectKBest1.pkl,train,0.48535021474692275,1.7127727865988822,2.251586370646836
../models\SVR\best_estimator_SelectKBest1.pkl,test,0.4776974299223845,1.7541412472526536,2.250667235212919
../models\XGBRegressor\best_estimator_Clustering2.pkl,train,0.5745177865028381,1.6112315096835859,2.047262040866632
../models\XGBRegressor\best_estimator_Clustering2.pkl,test,0.4797101616859436,1.770422739860339,2.246326603424136
../models\XGBRegressor\best_estimator_PCA3.pkl,train,0.7500002384185791,1.2285308220125886,1.5692874642614962
../models\XGBRegressor\best_estimator_PCA3.pkl,test,0.485535204410553,1.764803592975323,2.2337165129991208
../models\XGBRegressor\best_estimator_SelectKBest1.pkl,train,0.5432381629943848,1.6663554728272474,2.1211804624610795
../models\XGBRegressor\best_estimator_SelectKBest1.pkl,test,0.5138029456138611,1.7311016474014673,2.1714828217625555
